0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.24155332,0.25328144,0.23930721,0.23480316,0.25789356,0.23300003,0.22645377,0.23084997,0.20686556,0.24049088,0.23203008,0.23688382,0.2559382,0.21543051,0.26181516,0.24129757
0.27256048,0.28939372,0.27884284,0.28934595,0.28710595,0.27961233,0.25202596,0.28161192,0.2805085,0.27441698,0.2740484,0.27201572,0.28701788,0.25685197,0.3081014,0.27431336
0.24227001,0.25204736,0.2459994,0.24225684,0.26054975,0.24841632,0.23219447,0.24143094,0.2513919,0.24896169,0.2382884,0.2443525,0.25511208,0.20328405,0.26823497,0.24189758
0.41886857,0.43696997,0.4252001,0.43578923,0.46307206,0.43956333,0.3519866,0.43609953,0.5296533,0.4772578,0.45519555,0.44686836,0.44738373,0.35044435,0.4806955,0.42501995
0.26629308,0.25162762,0.24579377,0.27357084,0.22147816,0.28121904,0.24007396,0.29263905,0.23569517,0.2931934,0.22481686,0.26834214,0.2831561,0.2964235,0.27999568,0.26421556
0.24907637,0.27706057,0.22519636,0.25962764,0.2847713,0.25209537,0.21893129,0.27754945,0.23543645,0.27180052,0.2734336,0.2747817,0.2971708,0.19846128,0.24545538,0.2242237
0.27825972,0.2892242,0.27530885,0.29258108,0.2755618,0.27587256,0.26222786,0.27823183,0.26844773,0.28483793,0.2629032,0.28178194,0.28311285,0.23664913,0.29769197,0.26835302
0.24074803,0.2564238,0.23162173,0.23413256,0.25243786,0.2365694,0.22866783,0.23010269,0.24112563,0.24220924,0.23425293,0.23915373,0.26387513,0.20352614,0.2516723,0.23435207
0.22885679,0.23137324,0.2398691,0.22104132,0.23804218,0.22168423,0.21111879,0.23056088,0.22330317,0.23444112,0.21914038,0.22112575,0.22827005,0.20417833,0.24307531,0.22018912
0.2560588,0.2516269,0.24822946,0.25399125,0.26067224,0.24994682,0.23961686,0.24169622,0.23553318,0.2560682,0.23968506,0.25102577,0.25506964,0.22359009,0.25911176,0.24768321
0.24324152,0.23757413,0.22966027,0.23436308,0.24561706,0.23686151,0.21636721,0.22101821,0.21997535,0.22664107,0.22360036,0.21075968,0.24493463,0.21151973,0.24630606,0.23011106
0.24085958,0.26031455,0.24709362,0.25229886,0.2572834,0.23632051,0.23301679,0.23093836,0.24375907,0.24753582,0.2367137,0.24865961,0.24616745,0.21022253,0.26615494,0.24610125
